ELECTION_CODE,LBE,LBE_CODE,CONGRESSIONAL_DISTRICT_CODE,LEGISLATIVE_DISTRICT_CODE,PRECINCT,PARTY,POLLS,EARLY_VOTING,ABSENTEE,PROVISIONAL,ELIGIBLE_VOTERS,Percentage
GG14,Allegany,1,6,01C,001-000,DEMOCRAT,73,6,0,0,140,56.43
GG14,Allegany,1,6,01C,001-000,GREEN,0,0,0,0,0,0.00
GG14,Allegany,1,6,01C,001-000,LIBERTARIAN,3,0,0,0,5,60.00
GG14,Allegany,1,6,01C,001-000,OTHER PARTIES,3,0,1,0,5,80.00
GG14,Allegany,1,6,01C,001-000,REPUBLICAN,213,5,1,0,359,61.00
GG14,Allegany,1,6,01C,001-000,UNAFFILIATED,35,0,0,1,94,38.30
GG14,Allegany,1,6,01C,002-000,DEMOCRAT,73,2,5,2,207,39.61
GG14,Allegany,1,6,01C,002-000,GREEN,0,0,0,0,1,0.00
GG14,Allegany,1,6,01C,002-000,LIBERTARIAN,1,0,0,0,3,33.33
GG14,Allegany,1,6,01C,002-000,OTHER PARTIES,2,1,0,0,5,60.00
GG14,Allegany,1,6,01C,002-000,REPUBLICAN,201,13,7,2,375,59.47
GG14,Allegany,1,6,01C,002-000,UNAFFILIATED,40,2,0,0,124,33.87
GG14,Allegany,1,6,01C,003-000,DEMOCRAT,66,4,1,2,170,42.94
GG14,Allegany,1,6,01C,003-000,GREEN,0,0,0,0,3,0.00
GG14,Allegany,1,6,01C,003-000,LIBERTARIAN,0,0,1,0,1,100.00
GG14,Allegany,1,6,01C,003-000,OTHER PARTIES,1,0,0,0,9,11.11
GG14,Allegany,1,6,01C,003-000,REPUBLICAN,208,13,4,0,380,59.21
GG14,Allegany,1,6,01C,003-000,UNAFFILIATED,26,1,0,0,108,25.00
GG14,Allegany,1,6,01C,004-002,DEMOCRAT,83,11,1,1,334,28.74
GG14,Allegany,1,6,01C,004-002,GREEN,0,0,0,0,4,0.00
GG14,Allegany,1,6,01C,004-002,LIBERTARIAN,1,0,0,0,3,33.33
GG14,Allegany,1,6,01C,004-002,OTHER PARTIES,3,0,0,0,7,42.86
GG14,Allegany,1,6,01C,004-002,REPUBLICAN,73,4,3,3,217,38.25
GG14,Allegany,1,6,01C,004-002,UNAFFILIATED,20,1,0,0,172,12.21
GG14,Allegany,1,6,01C,004-003,DEMOCRAT,158,30,4,0,480,40.00
GG14,Allegany,1,6,01C,004-003,GREEN,0,0,0,0,5,0.00
GG14,Allegany,1,6,01C,004-003,LIBERTARIAN,2,0,0,0,5,40.00
GG14,Allegany,1,6,01C,004-003,OTHER PARTIES,4,0,0,0,8,50.00
GG14,Allegany,1,6,01C,004-003,REPUBLICAN,153,18,7,5,401,45.64
GG14,Allegany,1,6,01C,004-003,UNAFFILIATED,44,2,2,0,204,23.53
GG14,Allegany,1,6,01C,004-004,DEMOCRAT,245,60,19,0,600,54.00
GG14,Allegany,1,6,01C,004-004,GREEN,0,0,0,0,2,0.00
GG14,Allegany,1,6,01C,004-004,LIBERTARIAN,2,0,0,0,8,25.00
GG14,Allegany,1,6,01C,004-004,OTHER PARTIES,3,1,1,0,9,55.56
GG14,Allegany,1,6,01C,004-004,REPUBLICAN,250,44,16,2,538,57.99
GG14,Allegany,1,6,01C,004-004,UNAFFILIATED,53,3,0,0,165,33.94
GG14,Allegany,1,6,01C,004-005,DEMOCRAT,110,6,5,1,321,38.01
GG14,Allegany,1,6,01C,004-005,GREEN,2,0,0,0,6,33.33
GG14,Allegany,1,6,01C,004-005,LIBERTARIAN,2,2,0,0,6,66.67
GG14,Allegany,1,6,01C,004-005,OTHER PARTIES,5,0,0,0,11,45.45
GG14,Allegany,1,6,01C,004-005,REPUBLICAN,113,4,4,0,253,47.83
GG14,Allegany,1,6,01C,004-005,UNAFFILIATED,36,1,0,0,153,24.18
GG14,Allegany,1,6,01C,004-008,DEMOCRAT,196,23,9,1,512,44.73
GG14,Allegany,1,6,01C,004-008,GREEN,0,0,0,0,1,0.00
GG14,Allegany,1,6,01C,004-008,LIBERTARIAN,2,0,0,0,7,28.57
GG14,Allegany,1,6,01C,004-008,OTHER PARTIES,4,0,0,0,9,44.44
GG14,Allegany,1,6,01C,004-008,REPUBLICAN,211,30,9,3,477,53.04
GG14,Allegany,1,6,01C,004-008,UNAFFILIATED,52,6,1,2,211,28.91
GG14,Allegany,1,6,01B,005-004,DEMOCRAT,174,25,9,5,441,48.30
GG14,Allegany,1,6,01B,005-004,GREEN,2,0,0,0,2,100.00
GG14,Allegany,1,6,01B,005-004,LIBERTARIAN,3,0,0,0,9,33.33
GG14,Allegany,1,6,01B,005-004,OTHER PARTIES,8,1,0,0,13,69.23
GG14,Allegany,1,6,01B,005-004,REPUBLICAN,182,19,6,4,375,56.27
GG14,Allegany,1,6,01B,005-004,UNAFFILIATED,47,0,2,3,183,28.42
GG14,Allegany,1,6,01B,005-006,DEMOCRAT,81,4,1,0,192,44.79
GG14,Allegany,1,6,01B,005-006,GREEN,1,0,0,0,1,100.00
GG14,Allegany,1,6,01B,005-006,LIBERTARIAN,1,0,0,0,2,50.00
GG14,Allegany,1,6,01B,005-006,OTHER PARTIES,2,0,0,0,4,50.00
GG14,Allegany,1,6,01B,005-006,REPUBLICAN,103,10,1,0,231,49.35
GG14,Allegany,1,6,01B,005-006,UNAFFILIATED,24,0,0,0,72,33.33
GG14,Allegany,1,6,01C,006-001,DEMOCRAT,211,34,19,9,491,55.60
GG14,Allegany,1,6,01C,006-001,GREEN,2,0,0,1,8,37.50
GG14,Allegany,1,6,01C,006-001,LIBERTARIAN,1,2,0,2,7,71.43
GG14,Allegany,1,6,01C,006-001,OTHER PARTIES,9,1,1,0,16,68.75
GG14,Allegany,1,6,01C,006-001,REPUBLICAN,214,35,19,5,462,59.09
GG14,Allegany,1,6,01C,006-001,UNAFFILIATED,50,4,0,5,190,31.05
GG14,Allegany,1,6,01C,006-003,DEMOCRAT,110,29,8,7,315,48.89
GG14,Allegany,1,6,01C,006-003,GREEN,0,0,0,0,3,0.00
GG14,Allegany,1,6,01C,006-003,LIBERTARIAN,2,1,0,0,6,50.00
GG14,Allegany,1,6,01C,006-003,OTHER PARTIES,1,0,0,0,5,20.00
GG14,Allegany,1,6,01C,006-003,REPUBLICAN,97,18,6,3,213,58.22
GG14,Allegany,1,6,01C,006-003,UNAFFILIATED,27,1,0,2,89,33.71
GG14,Allegany,1,6,01C,006-005,DEMOCRAT,189,33,14,2,430,55.35
GG14,Allegany,1,6,01C,006-005,GREEN,0,0,0,0,2,0.00
GG14,Allegany,1,6,01C,006-005,LIBERTARIAN,1,0,0,0,7,14.29
GG14,Allegany,1,6,01C,006-005,OTHER PARTIES,2,1,0,0,9,33.33
GG14,Allegany,1,6,01C,006-005,REPUBLICAN,202,35,16,2,418,61.00
GG14,Allegany,1,6,01C,006-005,UNAFFILIATED,47,3,0,1,156,32.69
GG14,Allegany,1,6,01B,006-006,DEMOCRAT,206,27,3,2,531,44.82
GG14,Allegany,1,6,01B,006-006,GREEN,3,0,0,0,4,75.00
GG14,Allegany,1,6,01B,006-006,LIBERTARIAN,3,0,0,0,5,60.00
GG14,Allegany,1,6,01B,006-006,OTHER PARTIES,4,0,0,0,7,57.14
GG14,Allegany,1,6,01B,006-006,REPUBLICAN,299,34,4,0,614,54.89
GG14,Allegany,1,6,01B,006-006,UNAFFILIATED,52,3,1,0,198,28.28
GG14,Allegany,1,6,01B,007-001,DEMOCRAT,233,13,10,1,512,50.20
GG14,Allegany,1,6,01B,007-001,GREEN,0,1,0,0,3,33.33
GG14,Allegany,1,6,01B,007-001,LIBERTARIAN,3,0,0,0,6,50.00
GG14,Allegany,1,6,01B,007-001,OTHER PARTIES,5,0,0,1,13,46.15
GG14,Allegany,1,6,01B,007-001,REPUBLICAN,350,22,14,0,680,56.76
GG14,Allegany,1,6,01B,007-001,UNAFFILIATED,61,8,1,3,216,33.80
GG14,Allegany,1,6,01A,007-002,DEMOCRAT,218,20,8,2,515,48.16
GG14,Allegany,1,6,01A,007-002,GREEN,0,0,0,0,1,0.00
GG14,Allegany,1,6,01A,007-002,LIBERTARIAN,2,0,0,0,3,66.67
GG14,Allegany,1,6,01A,007-002,OTHER PARTIES,11,0,0,0,16,68.75
GG14,Allegany,1,6,01A,007-002,REPUBLICAN,440,23,14,3,776,61.86
GG14,Allegany,1,6,01A,007-002,UNAFFILIATED,71,5,0,1,207,37.20
GG14,Allegany,1,6,01A,008-000,DEMOCRAT,265,3,14,1,673,42.05
GG14,Allegany,1,6,01A,008-000,GREEN,1,0,0,0,2,50.00
GG14,Allegany,1,6,01A,008-000,LIBERTARIAN,2,0,0,0,7,28.57
