"Election_Code","LBE","LBE_Code","Congressional_District_Code","Legislative_District_Code","Precinct","Party","Polls","Early_Voting","Absentee","Provisional","Eligible_Voters","Percentage"
"GG14","Allegany",1,6,"01C","001-000","Democrat",73,6,0,0,140,0.564285714285714
"GG14","Allegany",1,6,"01C","001-000","Green",0,0,0,0,0,0
"GG14","Allegany",1,6,"01C","001-000","Libertarian",3,0,0,0,5,0.6
"GG14","Allegany",1,6,"01C","001-000","Other Parties",3,0,1,0,5,0.8
"GG14","Allegany",1,6,"01C","001-000","Republican",213,5,1,0,359,0.610027855153203
"GG14","Allegany",1,6,"01C","001-000","Unaffiliated",35,0,0,1,94,0.382978723404255
"GG14","Allegany",1,6,"01C","002-000","Democrat",73,2,5,2,207,0.396135265700483
"GG14","Allegany",1,6,"01C","002-000","Green",0,0,0,0,1,0
"GG14","Allegany",1,6,"01C","002-000","Libertarian",1,0,0,0,3,0.333333333333333
"GG14","Allegany",1,6,"01C","002-000","Other Parties",2,1,0,0,5,0.6
"GG14","Allegany",1,6,"01C","002-000","Republican",201,13,7,2,375,0.594666666666667
"GG14","Allegany",1,6,"01C","002-000","Unaffiliated",40,2,0,0,124,0.338709677419355
"GG14","Allegany",1,6,"01C","003-000","Democrat",66,4,1,2,170,0.429411764705882
"GG14","Allegany",1,6,"01C","003-000","Green",0,0,0,0,3,0
"GG14","Allegany",1,6,"01C","003-000","Libertarian",0,0,1,0,1,1
"GG14","Allegany",1,6,"01C","003-000","Other Parties",1,0,0,0,9,0.111111111111111
"GG14","Allegany",1,6,"01C","003-000","Republican",208,13,4,0,380,0.592105263157895
"GG14","Allegany",1,6,"01C","003-000","Unaffiliated",26,1,0,0,108,0.25
"GG14","Allegany",1,6,"01C","004-002","Democrat",83,11,1,1,334,0.287425149700599
"GG14","Allegany",1,6,"01C","004-002","Green",0,0,0,0,4,0
"GG14","Allegany",1,6,"01C","004-002","Libertarian",1,0,0,0,3,0.333333333333333
"GG14","Allegany",1,6,"01C","004-002","Other Parties",3,0,0,0,7,0.428571428571429
"GG14","Allegany",1,6,"01C","004-002","Republican",73,4,3,3,217,0.382488479262673
"GG14","Allegany",1,6,"01C","004-002","Unaffiliated",20,1,0,0,172,0.122093023255814
"GG14","Allegany",1,6,"01C","004-003","Democrat",158,30,4,0,480,0.4
"GG14","Allegany",1,6,"01C","004-003","Green",0,0,0,0,5,0
"GG14","Allegany",1,6,"01C","004-003","Libertarian",2,0,0,0,5,0.4
"GG14","Allegany",1,6,"01C","004-003","Other Parties",4,0,0,0,8,0.5
"GG14","Allegany",1,6,"01C","004-003","Republican",153,18,7,5,401,0.456359102244389
"GG14","Allegany",1,6,"01C","004-003","Unaffiliated",44,2,2,0,204,0.235294117647059
"GG14","Allegany",1,6,"01C","004-004","Democrat",245,60,19,0,600,0.54
"GG14","Allegany",1,6,"01C","004-004","Green",0,0,0,0,2,0
"GG14","Allegany",1,6,"01C","004-004","Libertarian",2,0,0,0,8,0.25
"GG14","Allegany",1,6,"01C","004-004","Other Parties",3,1,1,0,9,0.555555555555556
"GG14","Allegany",1,6,"01C","004-004","Republican",250,44,16,2,538,0.579925650557621
"GG14","Allegany",1,6,"01C","004-004","Unaffiliated",53,3,0,0,165,0.339393939393939
"GG14","Allegany",1,6,"01C","004-005","Democrat",110,6,5,1,321,0.38006230529595
"GG14","Allegany",1,6,"01C","004-005","Green",2,0,0,0,6,0.333333333333333
"GG14","Allegany",1,6,"01C","004-005","Libertarian",2,2,0,0,6,0.666666666666667
"GG14","Allegany",1,6,"01C","004-005","Other Parties",5,0,0,0,11,0.454545454545455
"GG14","Allegany",1,6,"01C","004-005","Republican",113,4,4,0,253,0.478260869565217
"GG14","Allegany",1,6,"01C","004-005","Unaffiliated",36,1,0,0,153,0.241830065359477
"GG14","Allegany",1,6,"01C","004-008","Democrat",196,23,9,1,512,0.447265625
"GG14","Allegany",1,6,"01C","004-008","Green",0,0,0,0,1,0
"GG14","Allegany",1,6,"01C","004-008","Libertarian",2,0,0,0,7,0.285714285714286
"GG14","Allegany",1,6,"01C","004-008","Other Parties",4,0,0,0,9,0.444444444444444
"GG14","Allegany",1,6,"01C","004-008","Republican",211,30,9,3,477,0.530398322851153
"GG14","Allegany",1,6,"01C","004-008","Unaffiliated",52,6,1,2,211,0.289099526066351
"GG14","Allegany",1,6,"01B","005-004","Democrat",174,25,9,5,441,0.482993197278912
"GG14","Allegany",1,6,"01B","005-004","Green",2,0,0,0,2,1
"GG14","Allegany",1,6,"01B","005-004","Libertarian",3,0,0,0,9,0.333333333333333
"GG14","Allegany",1,6,"01B","005-004","Other Parties",8,1,0,0,13,0.692307692307692
"GG14","Allegany",1,6,"01B","005-004","Republican",182,19,6,4,375,0.562666666666667
"GG14","Allegany",1,6,"01B","005-004","Unaffiliated",47,0,2,3,183,0.284153005464481
"GG14","Allegany",1,6,"01B","005-006","Democrat",81,4,1,0,192,0.447916666666667
"GG14","Allegany",1,6,"01B","005-006","Green",1,0,0,0,1,1
"GG14","Allegany",1,6,"01B","005-006","Libertarian",1,0,0,0,2,0.5
"GG14","Allegany",1,6,"01B","005-006","Other Parties",2,0,0,0,4,0.5
"GG14","Allegany",1,6,"01B","005-006","Republican",103,10,1,0,231,0.493506493506494
"GG14","Allegany",1,6,"01B","005-006","Unaffiliated",24,0,0,0,72,0.333333333333333
"GG14","Allegany",1,6,"01C","006-001","Democrat",211,34,19,9,491,0.556008146639511
"GG14","Allegany",1,6,"01C","006-001","Green",2,0,0,1,8,0.375
"GG14","Allegany",1,6,"01C","006-001","Libertarian",1,2,0,2,7,0.714285714285714
"GG14","Allegany",1,6,"01C","006-001","Other Parties",9,1,1,0,16,0.6875
"GG14","Allegany",1,6,"01C","006-001","Republican",214,35,19,5,462,0.590909090909091
"GG14","Allegany",1,6,"01C","006-001","Unaffiliated",50,4,0,5,190,0.310526315789474
"GG14","Allegany",1,6,"01C","006-003","Democrat",110,29,8,7,315,0.488888888888889
"GG14","Allegany",1,6,"01C","006-003","Green",0,0,0,0,3,0
"GG14","Allegany",1,6,"01C","006-003","Libertarian",2,1,0,0,6,0.5
"GG14","Allegany",1,6,"01C","006-003","Other Parties",1,0,0,0,5,0.2
"GG14","Allegany",1,6,"01C","006-003","Republican",97,18,6,3,213,0.582159624413146
