"Precinct","Council.District"
"001-001","1"
"001-002","1"
"001-003","2"
"001-004","1"
"001-005","2"
"001-006","2"
"001-007","2"
"001-008","1"
"001-009","2"
"001-010","2"
"001-011","1"
"001-012","2"
"001-013","1"
"001-014","2"
"001-015","2"
"001-016","1"
"001-017","1"
"001-018","2"
"001-019","1"
"001-020","2"
"001-021","2"
"002-001","1"
"002-002","1"
"002-003","2"
"002-004","2"
"002-005","1"
"002-006","5"
"002-007","5"
"002-008","1"
"002-009","1"
"002-010","1"
"002-011","5"
"002-012","1"
"002-013","1"
"002-014","1"
"002-015","1"
"002-016","1"
"002-017","1"
"002-018","5"
"002-019","5"
"002-020","1"
"002-021","1"
"002-022","5"
"002-023","1"
"002-024","5"
"002-025","1"
"002-026","1"
"003-001","5"
"003-002","5"
"003-003","5"
"003-004","1"
"003-005","5"
"003-006","5"
"004-001","5"
"004-002","5"
"004-003","5"
"004-004","5"
"004-005","5"
"004-006","5"
"005-001","5"
"005-002","4"
"005-003","4"
"005-004","4"
"005-005","4"
"005-006","4"
"005-007","4"
"005-008","4"
"005-009","4"
"005-010","4"
"005-011","5"
"005-012","4"
"005-013","4"
"005-014","4"
"005-015","4"
"005-016","1"
"005-017","4"
"005-018","4"
"005-019","5"
"005-020","5"
"005-021","4"
"005-022","4"
"005-023","4"
"005-024","5"
"006-001","3"
"006-002","3"
"006-003","3"
"006-004","3"
"006-005","2"
"006-006","2"
"006-007","3"
"006-008","2"
"006-009","2"
"006-010","2"
"006-011","2"
"006-012","3"
"006-013","3"
"006-014","2"
"006-015","3"
"006-016","2"
"006-017","3"
"006-018","3"
"006-019","3"
"006-020","3"
"006-021","2"
"006-022","3"
"006-023","3"
"006-024","3"
"006-025","3"
"006-026","3"
"006-027","3"
"006-028","4"
"006-029","2"
"006-030","3"
"006-031","2"
"006-032","4"
"006-033","3"
"006-034","3"
"006-035","3"
