ADJ2_RA,ADJ_18__A,ADJ_18__B,ADJ_18__H,ADJ_18__I,ADJ_18__O,ADJ_18__P,ADJ_18__W,ADJ_AMI,ADJ_ASI,ADJ_BLA,ADJ_HAW,ADJ_MUL,ADJ_OTH,ADJ_POP,ADJ_WHI,CCn-DEM,CCn-REP,CEx-DEM,CEx-REP,CNG02,COUNTY,HOUSING,HU_OCCU,LEG02,MCD,NAME,PLACE,STATE,UNADJHI,UNADJPO,VTD,VTD_1
41.0,71.0,65.0,4.0,8.0,11.0,1721.0,1544.0,8.0,101.0,94.0,4.0,41.0,18.0,2303.0,2037.0,236.0,705.0,352.0,622.0,2407,24027,837.0,781.0,2409A,2402790328,Howard Precinct 04-003,,24,64.0,2302,3,04-003
35.0,28.0,42.0,1.0,2.0,19.0,1499.0,1393.0,3.0,42.0,55.0,1.0,35.0,25.0,2029.0,1868.0,185.0,506.0,252.0,471.0,2407,24027,689.0,671.0,2409A,2402790328,Howard Precinct 04-001,,24,99.0,2028,3,04-001
35.0,44.0,45.0,0.0,2.0,20.0,1440.0,1309.0,2.0,60.0,61.0,3.0,35.0,34.0,1925.0,1730.0,197.0,596.0,285.0,545.0,2407,24027,658.0,631.0,2409A,2402790328,Howard Precinct 04-005,,24,86.0,1925,3,04-005
112.0,76.0,556.0,2.0,7.0,45.0,1706.0,958.0,13.0,100.0,704.0,4.0,112.0,64.0,2166.0,1169.0,293.0,146.0,312.0,129.0,2407,24027,701.0,679.0,24013,2402790512,Howard Precinct 06-007,,24,165.0,2163,1,06-007
243.0,792.0,866.0,1.0,8.0,53.0,3905.0,2065.0,9.0,1039.0,1231.0,1.0,243.0,78.0,5173.0,2572.0,1005.0,459.0,1062.0,429.0,2403,24027,2050.0,1970.0,24013,2402790512,Howard Precinct 06-029,2419125,24,265.0,5171,1,06-029
81.0,94.0,322.0,1.0,3.0,68.0,1014.0,497.0,7.0,114.0,433.0,3.0,81.0,103.0,1376.0,635.0,133.0,67.0,142.0,59.0,2407,24027,466.0,448.0,24013,2402790512,Howard Precinct 06-030,,24,244.0,1373,1,06-030
138.0,540.0,379.0,1.0,17.0,76.0,2976.0,1903.0,26.0,708.0,507.0,2.0,138.0,116.0,3919.0,2422.0,393.0,328.0,460.0,279.0,2403,24027,1704.0,1593.0,24013,2402790052,Howard Precinct 01-006,,24,287.0,3915,1,01-006
163.0,571.0,1198.0,1.0,11.0,79.0,3459.0,1517.0,12.0,773.0,1732.0,1.0,163.0,118.0,4661.0,1862.0,484.0,253.0,523.0,232.0,2403,24027,1588.0,1493.0,24013,,Howard Precinct 01-015,,24,343.0,5246,1,01-015
91.0,115.0,173.0,0.0,2.0,6.0,2117.0,1783.0,5.0,168.0,230.0,1.0,91.0,12.0,3084.0,2577.0,257.0,815.0,440.0,684.0,2407,24027,987.0,949.0,2409A,2402790328,Howard Precinct 04-004,,24,67.0,3083,3,04-004
64.0,159.0,97.0,0.0,7.0,22.0,2206.0,1893.0,13.0,221.0,135.0,0.0,64.0,33.0,2964.0,2498.0,287.0,862.0,472.0,723.0,2407,24027,997.0,972.0,2409A,2402790236,Howard Precinct 03-002,,24,71.0,2964,3,03-002
99.0,843.0,202.0,0.0,2.0,8.0,3763.0,2665.0,2.0,1268.0,270.0,1.0,99.0,15.0,5073.0,3418.0,452.0,892.0,684.0,707.0,2407,24027,2016.0,1918.0,2409A,2402790236,Howard Precinct 03-005,,24,86.0,5072,3,03-005
75.0,502.0,172.0,1.0,1.0,25.0,2057.0,1319.0,2.0,745.0,264.0,1.0,75.0,40.0,3012.0,1885.0,487.0,437.0,544.0,394.0,2407,24027,977.0,948.0,2409A,2402790144,Howard Precinct 02-008,2426000,24,100.0,3012,3,02-008
156.0,213.0,284.0,1.0,14.0,45.0,2254.0,1629.0,15.0,292.0,396.0,1.0,156.0,60.0,3046.0,2126.0,413.0,354.0,462.0,317.0,2403,24027,1189.0,1131.0,2412A,2402790052,Howard Precinct 01-008,2425750,24,207.0,3044,1,01-008
88.0,155.0,364.0,0.0,5.0,16.0,1598.0,1017.0,9.0,196.0,519.0,0.0,88.0,23.0,2135.0,1300.0,335.0,189.0,339.0,196.0,2403,24027,1017.0,927.0,2412A,2402790052,Howard Precinct 01-013,2425750,24,89.0,2135,1,01-013
111.0,230.0,249.0,4.0,7.0,26.0,2631.0,2076.0,8.0,312.0,373.0,5.0,111.0,40.0,3674.0,2825.0,694.0,595.0,664.0,620.0,2403,24027,1262.0,1218.0,2412A,2402790052,Howard Precinct 01-001,2425750,24,122.0,3670,1,01-001
49.0,304.0,25.0,0.0,2.0,12.0,1452.0,1093.0,2.0,420.0,40.0,0.0,49.0,29.0,1936.0,1396.0,335.0,381.0,403.0,319.0,2407,24027,668.0,661.0,2409A,2402790144,Howard Precinct 02-005,2426000,24,57.0,1936,3,02-005
95.0,424.0,82.0,0.0,1.0,11.0,2089.0,1533.0,1.0,613.0,95.0,0.0,95.0,24.0,2860.0,2032.0,473.0,506.0,545.0,440.0,2407,24027,942.0,932.0,2409A,2402790144,Howard Precinct 02-015,2426000,24,68.0,2858,3,02-015
75.0,232.0,81.0,0.0,3.0,16.0,2065.0,1708.0,3.0,304.0,112.0,0.0,75.0,20.0,2765.0,2251.0,323.0,638.0,532.0,469.0,2407,24027,937.0,926.0,2409A,2402790144,Howard Precinct 02-018,2426000,24,77.0,2765,3,02-018
80.0,414.0,187.0,0.0,1.0,18.0,2276.0,1627.0,4.0,610.0,266.0,0.0,80.0,20.0,3284.0,2304.0,346.0,620.0,539.0,474.0,2407,24027,1123.0,1068.0,2409A,2402790144,Howard Precinct 02-011,2426000,24,89.0,3282,3,02-011
50.0,225.0,100.0,0.0,0.0,6.0,1532.0,1183.0,0.0,290.0,135.0,0.0,50.0,10.0,2109.0,1624.0,246.0,513.0,433.0,360.0,2407,24027,674.0,665.0,2409A,2402790144,Howard Precinct 02-019,2426000,24,36.0,2109,3,02-019
16.0,34.0,3.0,0.0,0.0,0.0,327.0,286.0,0.0,45.0,3.0,0.0,16.0,0.0,453.0,389.0,80.0,98.0,89.0,89.0,2407,24027,159.0,156.0,2412B,2402790144,Howard Precinct 02-021,2426000,24,18.0,453,3,02-021
83.0,485.0,140.0,0.0,3.0,17.0,2492.0,1812.0,8.0,737.0,203.0,0.0,83.0,20.0,3435.0,2384.0,488.0,486.0,545.0,431.0,2407,24027,1279.0,1222.0,2409A,2402790144,Howard Precinct 02-012,2426000,24,92.0,3435,3,02-012
